Layers,Nodes,Cpu_Time
2,10,0.000322
3,10,0.000492
4,10,0.000717
5,10,0.000926
6,10,0.001102
7,10,0.002042
8,10,0.001507
9,10,0.001697
10,10,0.001911
11,10,0.002098
12,10,0.002328
13,10,0.002509
14,10,0.002728
15,10,0.002975
16,10,0.003163
2,20,0.000835
3,20,0.001535
4,20,0.002262
5,20,0.002899
6,20,0.003632
7,20,0.004397
8,20,0.005047
9,20,0.005680
10,20,0.006466
11,20,0.007773
12,20,0.007849
13,20,0.008640
14,20,0.009231
15,20,0.010497
16,20,0.010309
2,30,0.001675
3,30,0.003141
4,30,0.004587
5,30,0.005990
6,30,0.007581
7,30,0.008899
8,30,0.010263
9,30,0.011816
10,30,0.013186
11,30,0.014622
12,30,0.019806
13,30,0.017583
14,30,0.018960
15,30,0.020404
16,30,0.022147
2,40,0.002904
3,40,0.006263
4,40,0.008076
5,40,0.011523
6,40,0.013078
7,40,0.015689
8,40,0.026480
9,40,0.020769
10,40,0.023846
11,40,0.026014
12,40,0.029290
13,40,0.034955
14,40,0.033760
15,40,0.039335
16,40,0.041412
2,50,0.004176
3,50,0.008016
4,50,0.015163
5,50,0.019272
6,50,0.028858
7,50,0.023864
8,50,0.027210
9,50,0.030908
10,50,0.038275
11,50,0.038313
12,50,0.045420
13,50,0.046224
14,50,0.050148
15,50,0.054504
16,50,0.060629
2,60,0.005878
3,60,0.011209
4,60,0.016619
5,60,0.024222
6,60,0.028248
7,60,0.034951
8,60,0.038161
9,60,0.043706
10,60,0.058277
11,60,0.058070
12,60,0.062768
13,60,0.067239
14,60,0.072697
15,60,0.080913
16,60,0.082514
2,70,0.008578
3,70,0.015351
4,70,0.022654
5,70,0.029692
6,70,0.037562
7,70,0.044973
8,70,0.054408
9,70,0.061904
10,70,0.071025
11,70,0.073783
12,70,0.084173
13,70,0.098433
14,70,0.100015
15,70,0.107421
16,70,0.117614
2,80,0.010567
3,80,0.020038
4,80,0.029879
5,80,0.039462
6,80,0.067872
7,80,0.061246
8,80,0.069894
9,80,0.079774
10,80,0.091352
11,80,0.097753
12,80,0.120489
13,80,0.120721
14,80,0.130121
15,80,0.141236
16,80,0.151717
2,90,0.012568
3,90,0.030177
4,90,0.037371
5,90,0.051649
6,90,0.060359
7,90,0.073716
8,90,0.084385
9,90,0.111309
10,90,0.111921
11,90,0.129657
12,90,0.138325
13,90,0.145308
14,90,0.166146
15,90,0.172023
16,90,0.197004
2,100,0.015853
3,100,0.032939
4,100,0.046364
5,100,0.060661
6,100,0.077303
7,100,0.098136
8,100,0.110054
9,100,0.123408
10,100,0.146305
11,100,0.167664
12,100,0.190470
13,100,0.185680
14,100,0.205981
15,100,0.214146
16,100,0.236821
2,110,0.025728
3,110,0.037111
4,110,0.054893
5,110,0.073848
6,110,0.094188
7,110,0.111422
8,110,0.126776
9,110,0.152884
10,110,0.165559
11,110,0.195853
12,110,0.206143
13,110,0.226424
14,110,0.240039
15,110,0.263052
16,110,0.284314
2,120,0.025300
3,120,0.043057
4,120,0.067169
5,120,0.087782
6,120,0.115901
7,120,0.131562
8,120,0.157821
9,120,0.183774
10,120,0.201397
11,120,0.218126
12,120,0.248664
13,120,0.268946
14,120,0.299379
15,120,0.316263
16,120,0.337385
2,130,0.028293
3,130,0.052791
4,130,0.085094
5,130,0.102075
6,130,0.131305
7,130,0.159151
8,130,0.192603
9,130,0.210883
10,130,0.245906
11,130,0.258710
12,130,0.296227
13,130,0.332295
14,130,0.368565
15,130,0.388552
16,130,0.422595
2,140,0.029745
3,140,0.058501
4,140,0.090097
5,140,0.120620
6,140,0.150193
7,140,0.181399
8,140,0.210987
9,140,0.268713
10,140,0.296911
11,140,0.337681
12,140,0.369912
13,140,0.397274
14,140,0.448586
15,140,0.480516
16,140,0.540611
2,150,0.034187
3,150,0.067628
4,150,0.102027
5,150,0.140889
6,150,0.173126
7,150,0.216760
8,150,0.255494
9,150,0.293340
10,150,0.329491
11,150,0.378619
12,150,0.413584
13,150,0.476547
14,150,0.571554
15,150,0.571226
16,150,0.588570
2,160,0.038407
3,160,0.077243
4,160,0.115702
5,160,0.166706
6,160,0.195106
7,160,0.246054
8,160,0.293481
9,160,0.350784
10,160,0.387237
11,160,0.438068
12,160,0.519253
13,160,0.566760
14,160,0.623552
15,160,0.755843
16,160,0.760286
2,170,0.044702
3,170,0.088509
4,170,0.134276
5,170,0.179577
6,170,0.227517
7,170,0.281832
8,170,0.329280
9,170,0.404558
10,170,0.437871
11,170,0.487879
12,170,0.543210
13,170,0.603725
14,170,0.690002
15,170,0.756820
16,170,0.812738
2,180,0.048344
3,180,0.096389
4,180,0.148748
5,180,0.202059
6,180,0.263759
7,180,0.337224
8,180,0.384642
9,180,0.459577
10,180,0.563429
11,180,0.625164
12,180,0.690355
13,180,0.816566
14,180,0.937420
15,180,0.975537
16,180,1.154433
2,190,0.054578
3,190,0.108685
4,190,0.175474
5,190,0.226683
6,190,0.288571
7,190,0.352224
8,190,0.429849
9,190,0.486363
10,190,0.591757
11,190,0.732545
12,190,0.823853
13,190,0.897032
14,190,1.009078
15,190,1.132242
16,190,1.209278
2,200,0.060612
3,200,0.121815
4,200,0.186618
5,200,0.264670
6,200,0.338319
7,200,0.410431
8,200,0.502699
9,200,0.555709
10,200,0.666978
11,200,0.765983
12,200,0.892758
13,200,1.031899
14,200,1.100306
15,200,1.243934
16,200,1.412256
2,210,0.067921
3,210,0.133607
4,210,0.226089
5,210,0.287087
6,210,0.367891
7,210,0.453068
8,210,0.555662
9,210,0.671174
10,210,0.778310
11,210,0.870622
12,210,1.061025
13,210,1.230019
14,210,1.339010
15,210,1.486212
16,210,1.571258
2,220,0.074990
3,220,0.153833
4,220,0.241614
5,220,0.319855
6,220,0.409518
7,220,0.512555
8,220,0.606884
9,220,0.771140
10,220,0.952929
11,220,1.129256
12,220,1.251314
13,220,1.371933
14,220,1.543932
15,220,1.727694
16,220,1.867019
2,230,0.082016
3,230,0.160613
4,230,0.263866
5,230,0.363212
6,230,0.472087
7,230,0.587496
8,230,0.709921
9,230,0.906902
10,230,1.036056
11,230,1.249718
12,230,1.478680
13,230,1.646405
14,230,1.785044
15,230,1.945418
16,230,2.053833
2,240,0.089905
3,240,0.185469
4,240,0.291013
5,240,0.396743
6,240,0.517842
7,240,0.662782
8,240,0.800120
9,240,1.017820
10,240,1.219330
11,240,1.496105
12,240,1.661979
13,240,1.827581
14,240,1.974228
15,240,2.109291
16,240,2.363236
2,250,0.095017
3,250,0.214640
4,250,0.320284
5,250,0.428591
6,250,0.563152
7,250,0.710454
8,250,0.874479
9,250,1.161764
10,250,1.397349
11,250,1.650942
12,250,1.775250
13,250,2.033238
14,250,2.204618
15,250,2.440960
16,250,2.620511
2,260,0.105067
3,260,0.222226
4,260,0.333434
5,260,0.473329
6,260,0.603497
7,260,0.773629
8,260,0.990647
9,260,1.172608
10,260,1.395682
11,260,1.589853
12,260,1.765746
13,260,1.957156
14,260,2.188480
15,260,2.329620
16,260,2.516837
2,270,0.118637
3,270,0.239200
4,270,0.381348
5,270,0.540805
6,270,0.712597
7,270,0.965115
8,270,1.251949
9,270,1.388505
10,270,1.600415
11,270,1.775948
12,270,2.049805
13,270,2.242264
14,270,2.460016
15,270,2.656612
16,270,2.843758
2,280,0.127075
3,280,0.257660
4,280,0.396123
5,280,0.591981
6,280,0.810593
7,280,1.086006
8,280,1.359754
9,280,1.603996
10,280,1.796600
11,280,2.035391
12,280,2.283649
13,280,2.516798
14,280,2.732267
15,280,2.982257
16,280,3.221862
2,290,0.127522
3,290,0.275908
4,290,0.441855
5,290,0.611528
6,290,0.848724
7,290,1.233833
8,290,1.518164
9,290,1.739724
10,290,2.007073
11,290,2.264988
12,290,2.517146
13,290,2.829314
14,290,3.068239
15,290,3.282512
16,290,3.516119
2,300,0.136327
3,300,0.299530
4,300,0.510246
5,300,0.706512
6,300,1.038966
7,300,1.381460
8,300,1.649279
9,300,1.923583
10,300,2.226262
11,300,2.501233
12,300,2.807123
13,300,3.066450
14,300,3.321909
15,300,3.621703
16,300,3.869865
2,310,0.145742
3,310,0.329243
4,310,0.533485
5,310,0.848028
6,310,1.181630
7,310,1.536655
8,310,1.778547
9,310,2.102733
10,310,2.398776
11,310,2.701021
12,310,3.005819
13,310,3.281013
14,310,3.542499
15,310,3.862269
16,310,4.099844
2,320,0.157676
3,320,0.348137
4,320,0.549956
5,320,0.913078
6,320,1.261051
7,320,1.537420
8,320,1.912414
9,320,2.232928
10,320,2.585747
11,320,2.872451
12,320,3.184119
13,320,3.522642
14,320,3.791768
15,320,4.098717
16,320,4.434897
2,330,0.168716
3,330,0.367049
4,330,0.630651
5,330,1.003332
6,330,1.294978
7,330,1.713602
8,330,2.075458
9,330,2.427983
10,330,2.781330
11,330,3.085938
12,330,3.404254
13,330,3.717500
14,330,4.052672
15,330,4.378529
16,330,4.720731
2,340,0.181757
3,340,0.403441
4,340,0.659413
5,340,1.059627
6,340,1.408523
7,340,1.905210
8,340,2.232816
9,340,2.570944
10,340,2.958524
11,340,3.291452
12,340,3.635286
13,340,3.991084
14,340,4.337827
15,340,4.671442
16,340,5.063044
2,350,0.192043
3,350,0.447435
4,350,0.689066
5,350,1.230373
6,350,1.603741
7,350,2.029983
8,350,2.388747
9,350,2.742301
10,350,3.171328
11,350,3.516134
12,350,3.871240
13,350,4.241446
14,350,4.606779
15,350,4.968613
16,350,5.355968
2,360,0.207590
3,360,0.472204
4,360,0.825887
5,360,1.275978
6,360,1.711711
