Layers,Nodes,Gpu_Time
2,10,0.000276
3,10,0.000348
4,10,0.000444
5,10,0.000530
6,10,0.000607
7,10,0.000751
8,10,0.000790
9,10,0.000879
10,10,0.000989
11,10,0.001048
12,10,0.001125
13,10,0.001224
14,10,0.001328
15,10,0.001428
16,10,0.001506
2,20,0.000278
3,20,0.000359
4,20,0.000450
5,20,0.000544
6,20,0.000646
7,20,0.000739
8,20,0.000826
9,20,0.000915
10,20,0.001070
11,20,0.001109
12,20,0.001202
13,20,0.001294
14,20,0.001379
15,20,0.001470
16,20,0.001573
2,30,0.000278
3,30,0.000370
4,30,0.000460
5,30,0.000547
6,30,0.000658
7,30,0.000746
8,30,0.000849
9,30,0.000929
10,30,0.001020
11,30,0.001182
12,30,0.001223
13,30,0.001297
14,30,0.001395
15,30,0.001552
16,30,0.001810
2,40,0.000291
3,40,0.000402
4,40,0.000496
5,40,0.000593
6,40,0.000695
7,40,0.000792
8,40,0.000895
9,40,0.000999
10,40,0.001106
11,40,0.001214
12,40,0.001322
13,40,0.001416
14,40,0.001512
15,40,0.001653
16,40,0.001721
2,50,0.000309
3,50,0.000423
4,50,0.000546
5,50,0.000656
6,50,0.000782
7,50,0.000903
8,50,0.001021
9,50,0.001152
10,50,0.001251
11,50,0.001372
12,50,0.001515
13,50,0.001611
14,50,0.001745
15,50,0.001866
16,50,0.001974
2,60,0.000321
3,60,0.000449
4,60,0.000564
5,60,0.000683
6,60,0.000810
7,60,0.000928
8,60,0.001067
9,60,0.001179
10,60,0.001296
11,60,0.001404
12,60,0.001558
13,60,0.001677
14,60,0.001788
15,60,0.001894
16,60,0.002026
2,70,0.000332
3,70,0.000465
4,70,0.000594
5,70,0.000736
6,70,0.000867
7,70,0.001001
8,70,0.001167
9,70,0.001263
10,70,0.001380
11,70,0.001574
12,70,0.001646
13,70,0.001781
14,70,0.002020
15,70,0.002063
16,70,0.002195
2,80,0.000360
3,80,0.000492
4,80,0.000638
5,80,0.000775
6,80,0.000921
7,80,0.001059
8,80,0.001203
9,80,0.001350
10,80,0.001496
11,80,0.001629
12,80,0.001774
13,80,0.001927
14,80,0.002064
15,80,0.002206
16,80,0.002374
2,90,0.000394
3,90,0.000559
4,90,0.000732
5,90,0.000897
6,90,0.001068
7,90,0.001286
8,90,0.001475
9,90,0.001627
10,90,0.001768
11,90,0.001899
12,90,0.002076
13,90,0.002235
14,90,0.002396
15,90,0.002676
16,90,0.002808
2,100,0.000463
3,100,0.000597
4,100,0.000778
5,100,0.000955
6,100,0.001158
7,100,0.001332
8,100,0.001506
9,100,0.001680
10,100,0.001888
11,100,0.001985
12,100,0.001938
13,100,0.002099
14,100,0.002257
15,100,0.002441
16,100,0.002577
2,110,0.000373
3,110,0.000543
4,110,0.000744
5,110,0.000913
6,110,0.001093
7,110,0.001254
8,110,0.001453
9,110,0.001550
10,110,0.001694
11,110,0.001860
12,110,0.002054
13,110,0.002198
14,110,0.002362
15,110,0.002529
16,110,0.002670
2,120,0.000396
3,120,0.000574
4,120,0.000750
5,120,0.000932
6,120,0.001109
7,120,0.001322
8,120,0.001457
9,120,0.001641
10,120,0.001831
11,120,0.001997
12,120,0.002192
13,120,0.002382
14,120,0.002533
15,120,0.002719
16,120,0.002896
2,130,0.000458
3,130,0.000681
4,130,0.000899
5,130,0.001123
6,130,0.001358
7,130,0.001561
8,130,0.001782
9,130,0.002022
10,130,0.002240
11,130,0.002446
12,130,0.002823
13,130,0.002888
14,130,0.003111
15,130,0.003324
16,130,0.003717
2,140,0.000511
3,140,0.000720
4,140,0.000956
5,140,0.001194
6,140,0.001428
7,140,0.001664
8,140,0.001902
9,140,0.002166
10,140,0.002365
11,140,0.002611
12,140,0.002841
13,140,0.003071
14,140,0.003339
15,140,0.003561
16,140,0.003815
2,150,0.000495
3,150,0.000745
4,150,0.001003
5,150,0.001274
6,150,0.001583
7,150,0.001755
8,150,0.002001
9,150,0.002238
10,150,0.002487
11,150,0.002740
12,150,0.002988
13,150,0.003230
14,150,0.003495
15,150,0.003757
16,150,0.003985
2,160,0.000537
3,160,0.000788
4,160,0.001060
5,160,0.001326
6,160,0.001607
7,160,0.001857
8,160,0.002112
9,160,0.002379
10,160,0.002678
11,160,0.002907
12,160,0.003181
13,160,0.003456
14,160,0.003737
15,160,0.003994
16,160,0.004280
2,170,0.000614
3,170,0.000928
4,170,0.001312
5,170,0.001603
6,170,0.001907
7,170,0.002229
8,170,0.002560
9,170,0.002884
10,170,0.003191
11,170,0.003530
12,170,0.003858
13,170,0.004192
14,170,0.004540
15,170,0.004860
16,170,0.005174
2,180,0.000625
3,180,0.000965
4,180,0.001310
5,180,0.001646
6,180,0.001982
7,180,0.002338
8,180,0.002677
9,180,0.003000
10,180,0.003357
11,180,0.003695
12,180,0.004037
13,180,0.004400
14,180,0.004732
15,180,0.005253
16,180,0.005408
2,190,0.000648
3,190,0.001000
4,190,0.001355
